no,word
450,请大家转发维族朋友
451,青年日报
452,青年肉身挡坦克
453,请加QQ
454,钻插
455,舔穴
456,舔逼
457,舔足
458,舔阴
459,舔西
460,舔屁眼
461,舔屁沟
462,添屁沟
463,舔屁股沟
464,舔屄
465,舔蛋
466,舔奶
467,舔菊花
468,舔抠
469,舔鸡巴
470,尖阁列岛
471,舔脚
472,舔B
473,徹底陵辱
474,凸肉优
475,哲蚌市
476,哲蚌寺
477,天皇陛下
478,贱货
479,賤貨
480,天海丽
481,川合里美
482,天下杂志
483,贱逼
484,賤逼
485,天天情色
486,天天干贴图
487,天天干
488,浅仓舞
489,天地行技术论坛
490,天主教
491,賤種
492,天朝六十年编年
493,天朝60年编年史
494,天梯书店
495,天藏
496,天葬
497,千人斩
498,贱人
499,賤人
500,穿乳夹阴
501,穿越浏览器
502,天然素人
503,天閹
504,天眼日报社
505,天安門坦克
506,天安門一代
507,天安门运动
508,天安門時報
509,天按門事件
510,天安门事件
511,天安門事件
512,天安門母親
513,天安门流血
514,天安門流血
515,天安門錄影帶
516,天安門屠殺
517,天安门大屠杀
518,天安門大屠殺
519,天安门
520,天安門
521,天线宝宝
522,千涩
523,贱比
524,賤比
525,天父的儿女
526,天灭中共
527,天滅中共
528,天灭珙党
529,川岛和津实
530,贱奴
531,天剑一型飞弹
532,天剑二型飞弹
533,賤bi
534,賤B
535,天AN门
536,처발라
537,처먹어
538,처먹
539,처머거
540,처리부
541,처리반
542,处女终结者
543,处女屄
544,處女膜
545,처녀막
546,处女开包
547,处女
548,处男
549,챵뇬
550,챵년
551,챵녀
552,册那娘餓比
553,册那
554,采花坊
555,采花堂
556,彩票
557,채워줘
558,蔡安季
559,菜市口交
560,蔡崇國
561,채널레드TV
562,蔡啓芳
563,枪支弹药
564,枪支
565,苍井空
566,창여
567,枪手
568,创世之子猎艳之旅
569,창부
570,沧澜曲
571,昌都
572,창뇬
573,창뇨
574,창년벼지
575,창년
576,창녀촌
577,창녀버지
578,창녀
579,창남
580,猖妓
581,枪械制造方法
582,枪械制造图纸
583,枪决现场
584,枪决女犯
585,抢劫
586,참수
587,参事室
588,参谋本部
589,参加齐撑粤语大行动
590,參加齊撐粵語大行動
591,扎针事件
592,扎针党
593,扎卡维是英雄
594,扎卡維是英雄
595,扎卡维
596,扎瓦赫里
597,察警U行民人
598,錯逼
599,錯比
600,戳你
601,戳那嗎逼
602,錯那嗎逼
603,戳那嗎比
604,錯那嗎比
605,戳那嗎B
606,錯那嗎B
607,錯B
608,次仁益西
609,次旺仁增
610,车臣
611,车模兽兽自拍视频
612,車侖女幹
613,车仑
614,車侖
615,찢어버린다
616,찌찌
617,찌지리
618,찌랄이
619,찌랄
620,찌끄래기
621,찌거
622,쭈쭈
623,쭈욱
624,쬬다
625,쫒같
626,쫒갈
627,쫍빱
628,쫍밥
629,쫀물
630,쫀나
631,쪽발이
632,쪽국
633,쪼빤다
634,쪼빠라
635,쪼물락
636,쪼물딱
637,쪼다새끼
638,쪼다
639,쪼껀
640,쪼까튼
641,쪼까
642,쪼건
643,쪼갈
644,쪼가리
645,쩤밥
646,쩝밥
647,쩌껀
648,째려
649,째냐
650,짱보
651,짱나네
652,짭새
653,짭뇬
654,짭놈
655,짭년
656,짭것
657,짬지
658,짜지
659,짜쥐
660,짜져자
661,짜져
662,짜쌰
663,짜샤
664,짓껄이
665,执政党的罪错
666,集体淫
667,集体性爱
668,질할
669,질퍽하게
670,질질싸
671,질알
672,질사
673,陈希同
674,陳希同
675,陈晓宁
676,陳學聖
677,陳破空
678,陳總統
679,秦青的幸福生活
680,陈智敏
681,陈至立
682,真主安拉
683,真主党
684,真主
685,陳定南
686,陳一諮
687,真一善一美
688,真人主播
689,真人绣
690,陈毅
691,唇肉
692,陈云
693,姫辱
694,镇压
695,鎮壓
696,真实人妻
697,陈水扁
698,陳水扁
699,陳小同
700,进城
701,真善忍
702,真善美
703,陳宣良
704,陈腊肠
705,真相调查团
706,陳炳基
707,阵法五行
708,陳博志
709,陳蒙
710,真理教
711,陈良宇
712,陳良宇
713,震动棒
714,陈独秀
715,陳唐山
716,陳軍
717,陳菊
718,进口汽狗销售
719,陈冠希
720,陈功
721,陳景俊
722,陳建銘
723,镇江公安局
724,迟浩田
725,地下的先烈们
726,地下教會
727,支持达赖
728,支持360
729,지좆
730,指點江山論壇
731,지이랄
732,지이라알
733,持月真由
734,持不同政見
735,지보
736,지미럴
737,지미랄
738,지미
739,지룰
740,지룔
741,지뢀
742,지롤
743,支联会
744,지럴
745,지랼
746,지랠
747,지랗
748,지랄해
749,지랄하는
750,지랄하
751,지랄이
752,지랄육갑
753,지랄쌈치기
754,지랄삽차기
755,지랄무지개
756,지랄
757,遲鈍的圖騰
758,支那
759,지껄여봐
760,지껄여
761,지.랄
762,즤랄떠냐
763,增值票
764,曾培炎
765,曾道人
766,曾庆红被迫写信十七大退
767,曾慶紅被迫寫信十七大退
768,曾庆红十七大下课
769,曾慶紅十七大下課
770,曾庆红步江后尘
771,曾慶紅步江後塵
772,曾庆红
773,즐섹
774,즐색
775,즐길여
776,즐길성인
777,즐길녀
778,쥐보지
779,쥐랄
780,줴섭다
781,줫밥
782,中华抗日同盟
783,中華真實報道
784,中华电视公司
785,中华日报
786,中华人民正邪
787,中華人民正邪
788,中华人民实话实说
789,中華人民實話實說
790,中華人民實話
791,中華養生益智功
792,中華養生益智
793,中華時事
794,中华民国
795,中華民國
796,中华联邦政府
797,中華大地
798,中華大衆
799,中华大陆行政执事站
800,中華講清
801,中特
802,中出解禁
803,中出肛交
804,中奖
805,中越自卫反击战
806,中央派系斗争
807,中央電視臺
808,中央日报网络报
809,中央委员
810,中央社新闻网
811,中央社
812,中央权力被架空
813,中央高干子弟名单
814,中央警卫局大换血
815,中俄邊界
816,中时电子报
817,中宣部
818,中山领导流浪汉
819,중삘
820,중삐리
821,中文搜性网
822,중력절
823,中毒的圖騰
824,中毒圖騰
825,中年美妇
826,中南海
827,중꿔
828,중궈
829,中國和平
830,中国太子党名单
831,中国真实内容
832,中國真實內容
833,中国之春
834,中國之春
835,中国政局
836,中國猪
837,中国人权双周刊
838,中國移動通信
839,中國威脅論
840,中国时报新竹分社
841,中国时报
842,中国成人论坛
843,中国性爱城
844,中国社会进步党
845,中國社會進步黨
846,中國社會進步
847,中國社會論壇
848,中國復興論壇
849,中国密报
850,中国民众赴日本大使馆
851,中国民间保钓联合会
852,中國問題論壇
853,中国茉莉花革命
854,中國論壇
855,中国领导人最强阵容
856,中国难以避免陷入内乱
857,中国恐怖组织
858,中國共産黨
859,中国高层领导的子女现状
860,中國孤兒院
861,中国高干子女名单
862,中国のチベット自治区
863,中欧新闻网
864,重口味
865,中共黑帮
866,中共黑幕
867,中共黑匣子
868,中共还在祖国横行
869,中共血腥镇压
870,中共海外滲透
871,中共陷内斗
872,中共陷內鬥
873,中共暴政
874,中共統治危機
875,中共统治危机
876,中共中央黑幕
877,中共走狗
878,中共政治课
879,中共政坛腐败内幕
880,中共专制
881,中共的暴政
882,中共的死穴
883,中共一党专制
884,中共偽政權
885,中共伪政权
886,中共恶霸
887,中共邪恶
888,中共邪党
889,中共邪黨
890,中共查禁
891,中共粉饰太平
892,中共粉飾太平
893,中共帮凶
894,中共幫兇
895,中共迫害
896,中共领导人黑幕
897,中共領導人黑幕
898,中共独枭
899,中共独裁暴政
900,中共獨裁暴政
901,中共独裁
902,中共獨裁
903,中共军队黑幕
904,中共軍隊黑幕
905,中共军队血腥镇压
906,中共軍隊血腥鎮壓
907,中共垮台
908,中共垮臺
909,中共高层黑幕
910,中共高层斗争
911,中共高层内幕
912,中共高层军权斗争
913,中共高層軍權鬥爭
914,中共警察
915,中共监狱
916,中共
917,中谷香子
918,蠢猪
919,죽통
920,죽일놈
921,죽일년
922,죽일꺼
923,죽인다
924,죽인년
925,죽을래
926,죽을놈
927,죽을년
928,죽은년
929,粥永康
930,죽여줘
931,죽여버릴꺼야
932,죽여버린다
933,죽여
934,죽어라
935,竹笋乳
936,竹联帮
937,죽는다
938,죽고싶지않다면
939,粥健康
940,走向圆满
941,朱总理
942,周总理
943,注册后
944,朱駿
945,酒店援交
946,主场新闻
947,驻藏
948,主義
949,周恩来
950,周恩來
951,朱狨基
952,朱溶剂
953,朱溶劑
954,朱镕基
955,朱熔基
956,朱容基
957,朱容鸡
958,肘永康
959,周永康
960,做爱姿势
961,做爱
962,做愛
963,主神教
964,周守訓
965,周小康
966,主席
967,走私
968,主佛
969,朱鳳芝
970,周鋒鎖
971,酒瓶扩肛
972,做梦死
973,筹码
974,朱立倫
975,周六性吧
976,朱德
977,驻军
978,周群
979,走光偷拍
980,主攻指揮官
981,周健康
982,주절먹
983,주우둥이
984,주둥이
985,주둥아리
986,주뎅이
987,주댕이
988,주길년
989,주글래
990,주글년
991,주글
992,주거라
993,죷카
994,죷맹구
995,죷까
996,죶빠지게
997,죶마난
998,죶댓까면서
999,죶니
1000,죶나
1001,죶같은
1002,죶가튼
1003,죵늬
1004,죵나
1005,죳도
1006,죳나
1007,죨라
1008,죤만한색기
1009,죤만놈
1010,죤만년
1011,죤니
1012,죤나
1013,죠카테
1014,죠카태
1015,죠까틍
1016,죄랄
1017,左派
1018,坐台的
1019,坐台
1020,좌지
1021,좌좀년
1022,좌좀
1023,坐庄
1024,左翼
1025,좌이트
1026,좌이버
1027,좌음
1028,左营海军军官学校
1029,좋만한것
1030,좋만한 것
1031,좋만
1032,좇밥
1033,좇또
1034,좇도
1035,좇나
1036,좇까
1037,좇같은년
1038,좇같은
1039,좆헛물
1040,좆털
1041,좆터래길
1042,좆쑤시
1043,좆선족
1044,좆새끼
1045,좆삐리
1046,좆뺑이
1047,좆빨이
1048,좆빨아
1049,좆빠지게
1050,좆빠러
1051,좆빠라
1052,좆빠
1053,좆비비
1054,좆밥
1055,좆물
1056,좆목질
1057,좆먹어
1058,좆머거
1059,좆만한새끼
1060,좆만한늠
1061,좆만한뇽
1062,좆만한놈
1063,좆만한년
1064,좆만한
1065,좆만아
1066,좆마난
1067,좆또
1068,좆도
1069,좆대에
1070,좆대가리
1071,좆년
1072,좆나게
1073,좆나
1074,좆꼴리
1075,좆꼴려
1076,좆까라
1077,좆까는
1078,좆까
1079,좆귀두
1080,좆구멍
1081,좆구녕
1082,좆같은쉑키
1083,좆같은쉑캬
1084,좆같은쉐리
1085,좆같은세끼
1086,좆같은색키
1087,좆같은새끼
1088,좆같은놈
1089,좆같은년
1090,좆같은
1091,좆같아
1092,좆같다
1093,좆가튼
1094,纵火
1095,纵情兵团
1096,鐘山風雨論壇
1097,纵览中国
1098,종놈
1099,종년
1100,종나
1101,宗教极端主义
1102,宗教
1103,종간나
1104,좄까
1105,좃털
1106,좃이나
1107,좃빠지게
1108,좃빠라라
1109,좃빠네
1110,좃빠구리
1111,좃부랄
1112,좃보지
1113,좃뱅이
1114,좃밥
1115,좃물냄새
1116,좃물
1117,좃만한쉐이
1118,좃만한것
1119,좃만한
1120,좃만이
1121,좃만아
1122,좃마무리
1123,좃마난
1124,좃또
1125,좃도
1126,좃대가리
1127,좃니
1128,좃넘
1129,좃냄새
1130,좃나게
1131,좃나
1132,좃깟네
1133,좃까리
1134,좃까라
1135,좃까는
1136,좃까
1137,좃같은년
1138,좃같은
1139,좃같네
1140,좃같내
1141,좃간년
1142,좃간 년
1143,좃가튼늠
1144,좃가튼뇽
1145,좃가튼뇬
1146,좃가튼놈
1147,좃가튼년
1148,좃가튼
1149,좁빱
1150,좁빠라라
1151,좁밥
1152,좁년
1153,좀쓰레기
1154,좀물
1155,좀만아
1156,좀마니
1157,좀년
1158,졸라맨
1159,졸라게
1160,졸라
1161,졷따
1162,졷까
1163,존슨
1164,존물
1165,존맹구
1166,존망이
1167,존만한년
1168,존만한
1169,존만이
1170,존만아
1171,존만
1172,존마니
1173,존마난
1174,존마나
1175,존니
1176,존년
1177,존나아
1178,존나게
1179,존나
1180,족밥
1181,족발이
1182,족딸
1183,족까내
1184,족까
1185,足交
1186,족같은
1187,족같네
1188,족같내
1189,족같
1190,족간네
1191,足脚交
1192,족가튼
1193,鸟你
1194,鸟GM
1195,调戏
1196,操黑
1197,趙曉微
1198,操穴喷水
1199,操穴
1200,趙海青
1201,操逼毛
1202,肏逼
1203,操逼
1204,趙品潞
1205,조털
1206,操他妈
1207,操他
1208,조카툰
1209,潮吹
1210,粗屌
1211,朝天穴
1212,操妻
1213,조질래
1214,조진다
1215,조지냐
1216,조지
1217,操肿
1218,조져
1219,粗制吗啡
1220,调情
1221,操她妈
1222,操她
1223,조쟁이
1224,曹長青
1225,赵紫阳
1226,趙紫陽
1227,操幼自拍
1228,조우까튼
1229,조옺
1230,조옷만
1231,조옷나게
1232,조옷나
1233,조옷까
1234,조옷
1235,조옴마니
1236,조올라
1237,조온만
1238,조온마니
1239,조온니
1240,조옥같네
1241,조오지
1242,조오웃
1243,조오우까튼
1244,조오옷
1245,조오올라
1246,조오온니
1247,조오오조
1248,조오또
1249,조오까튼
1250,조오까
1251,조오건
1252,조오가튼
1253,钓鱼台
1254,钓鱼岛不属于中国
1255,钓鱼岛
1256,釣魚島
1257,造愛
1258,操我
1259,助手威爾特
1260,操骚逼
1261,조센징
1262,早泄
1263,朝鲜
1264,朝鮮
1265,操爽
1266,조사부
1267,조사반
1268,조사단
1269,操死
1270,操射
1271,조삐리
1272,조뺑이
1273,조빱
1274,조빠지게
1275,조빠러
1276,조빠라
1277,조빠
1278,操屄混戰
1279,操屄术
1280,肏屄
1281,操屄
1282,操比
1283,潮喷
1284,조밥
1285,造反
1286,朝美穗香
1287,조물락
1288,操母狗
1289,操林
1290,조뢀
1291,조랄
1292,操烂
1293,조또
1294,조둥아리
1295,조刀ㅏ
1296,操蛋
1297,操你八辈祖宗
1298,操你爺爺
1299,操你妈屄
1300,肏你妈
1301,叼你妈
1302,叼你媽
1303,操妳妈
1304,操你妈
1305,操你媽
1306,叼你
1307,操你
1308,操尼
1309,操嫩穴
1310,操嫩屄
1311,找农总行
1312,조낸
1313,趙南
1314,操那嗎逼
1315,操那嗎比
1316,操那嗎B
1317,조끗네
1318,조끗
1319,조껀만남
1320,조껀
1321,조깥
1322,조깟
1323,조깐다
1324,조까튼
1325,조까치
1326,조까라
1327,조까는
1328,조까
1329,调教虐待
1330,调教性奴
1331,调教老外
1332,调教嫩逼
1333,调教
1334,找工总行
1335,操鶏
1336,找建总行
1337,趙建銘
1338,조건만남
1339,조건가능
1340,조개핧아줘?
1341,조개핧아줘
1342,조개쑤셔줘?
1343,조개속물
1344,조개벌려조?
1345,조개벌려조
1346,조개마셔줘?
1347,조개마셔줘
1348,조개따조?
1349,조개따조
1350,조개넓은년
1351,조개나빨어
1352,曹刚川
1353,曹剛川
1354,朝冈实岭
1355,조가틍
1356,조가튼년
1357,조가튼
1358,赵家堡有动物异常现象
1359,赵zi阳
1360,趙zi陽
1361,操XX
1362,操GM
1363,操B指南
1364,操B自拍
1365,操B内射
1366,操b
1367,졎꼭찌
1368,졎꼭지
1369,져꽈튼
1370,诸侯进京
1371,齐志勇
1372,制作工艺
1373,제이제이일본성인만화
1374,帝顺
1375,济世灵文
1376,堤莎也加
1377,制服淫妹
1378,制服诱惑
1379,制服狩
1380,制服美妇
1381,齊墨
1382,제랄
1383,齊諾
1384,제기랄
1385,帝国主义
1386,帝國主義
1387,젙니
1388,젙같은
1389,젗밥
1390,젗도
1391,젗까
1392,젗같은
1393,젖통
1394,젖탱이
1395,젖이다
1396,젖은팬티
1397,젖빠지게
1398,젖밥새귀
1399,젖밥
1400,젖물
1401,젖만한
1402,젖마난
1403,젖도
1404,젖나게
1405,젖나
1406,젖꼭지
1407,젖까는
1408,젖까
1409,젖고픈
1410,젖고
1411,젖같은
1412,젖같네
1413,젖같내
1414,젖가튼
1415,젖가슴
1416,靓穴
1417,丁香成人社区
1418,丁香社区
1419,靓逼
1420,侦探设备
1421,政治黑暗
1422,政治风波
1423,政治体制改革
1424,政治犯
1425,政治反对派
1426,政治反對派
1427,政治
1428,情趣自拍
1429,情趣熟妇
1430,程鐵軍
1431,征集业主意见
1432,静坐
1433,贞操带手铐
1434,貞操
1435,정자핧아
1436,정자먹어
1437,정자마셔
1438,丁子霖
1439,丁字裤翘臀
1440,丁字裤
1441,精子
1442,正義黨論壇
1443,鄭義
1444,靓乳
1445,庭院警衛兵
1446,鄭源
1447,鄭運鵬
1448,정우성인용품전문점
1449,情欲
1450,正悟网
1451,鄭餘鎮
1452,精液横飞
1453,정액핧아
1454,정액짜
1455,精液榨取
1456,精液浴
1457,정액발사
1458,정액먹어
1459,정액마셔
1460,精液
1461,정액
1462,精神领袖
1463,正式做（有套）
1464,正式做（无套）
1465,情獸
1466,丁关根
1467,情色天崖
1468,情色综合站
1469,情色帝国
1470,情色五月天
1471,情色五月
1472,情色艺术天空
1473,情色文学
1474,情色网
1475,情色六月天
1476,情色导航
1477,情色
1478,정사채널
1479,정사씬모음
1480,정사
1481,政府丑闻
1482,政府无能
1483,政府
1484,情婦
1485,鄭寶清
1486,政变
1487,정박아
1488,정력포탈
1489,정력팬티
1490,정력강화용품
1491,정력
1492,鄭麗文
1493,政權
1494,靖国神社
1495,靖國神社
1496,丁關根
1497,正见网
1498,正見網
1499,程凱
1500,顶360
1501,젓은팬티
1502,젓빠지게
1503,젓밥
1504,젓물냄새
1505,젓물
1506,젓만한
1507,젓만이
1508,젓마무리
1509,젓마니
1510,젓마난
1511,젓떠
1512,젓도
1513,젓더
1514,젓대가리
1515,젓냄새
1516,젓나게
1517,젓나
1518,젓까리
1519,젓까는
1520,젓까
1521,젓같은
1522,젓같네
1523,젓같내
1524,젓가튼쉐이
1525,젓가튼
1526,접밥
1527,占中
1528,점물
1529,占领中环
1530,切七
1531,窃听器材
1532,窃听器
1533,绝食抗暴
1534,绝色美屄
1535,绝美
1536,絕望之地
1537,절라게
1538,절라
1539,젇놔
1540,钱其琛
1541,吮吸
1542,전화방
1543,轉化
1544,展穴
1545,战牌
1546,传播专业开锁技巧
1547,全套服务
1548,专宠
1549,吮屌
1550,前凸后翘
1551,专枪销售气枪
1552,전조건
1553,专制
1554,專制
1555,专政
1556,專政
1557,转钱
1558,电转插穴
1559,转账
1560,傳染性病
1561,专业代销
1562,专业代炼
1563,转业军人
1564,转业军官
1565,转业干部
1566,전신안마
1567,電視流氓
1568,转法轮
1569,全范围教会
1570,全无码
1571,전마나
1572,전라디언
1573,全裸
1574,전땅크
1575,錢達
1576,全能神
1577,전나구려
1578,전나게
1579,전나
1580,錢其琛
1581,田纪云
1582,田紀雲
1583,田期玉
1584,全国人大
1585,全國人大
1586,全國兩會
1587,錢國梁
1588,全国看守所死法分布图
1589,转经道
1590,电监会
1591,迪吧门
1592,적셔줄래
1593,적셔줄께
1594,적셔줄까
1595,滴腊
1596,赤色戰士
1597,赤色騎士
1598,滴蜡
1599,赤匪
1600,賊民
1601,寂寞自摸
1602,寂寞少妇
1603,迪裏夏提
1604,赤裸天使
1605,赤裸羔羊社区
1606,赤裸
1607,적꽈튼
1608,적까
1609,積克館
1610,적가튼
1611,저즌팬티
1612,저주금
1613,저주글
1614,猪操
1615,抵制食堂
1616,抵制北京奥运
1617,抵制
1618,저자식
1619,猪容基
1620,저빱
1621,저빠지게
1622,猪毛1
1623,猪毛
1624,她妈的金日成
1625,她妈
1626,她媽
1627,猪聋畸
1628,猪聾畸
1629,猪猡
1630,저늠
1631,저뇽
1632,저뇸
1633,저놈
1634,저년
1635,她娘
1636,저꽛튼
1637,저꽈튼
1638,저까튼
1639,저까는
1640,저까
1641,猪哥6合网中国网址联盟
1642,争鸣杂志
1643,爭鳴論壇
1644,争权
1645,재팬팬티
1646,재팬만화
1647,재팬마나
1648,财政部
1649,再转轮
1650,재습다
1651,재수없어
1652,재셥다
1653,재섭서
1654,在线销售
1655,在线公布
1656,재랄
1657,재기찡
1658,재기甲
1659,灾区治安失控
1660,再奸
1661,잦털
1662,잦이
1663,章孝嚴
1664,賬號
1665,帳號
1666,张学良
1667,装逼
1668,将则民
1669,將則民
1670,张春桥
1671,壮屌
1672,藏青会
1673,張清芳
1674,脏车
1675,張志清
1676,蒋中正
1677,蔣中正
1678,藏族同胞团结
1679,藏族
1680,张潮阳
1681,张朝阳
1682,藏传
1683,酱猪媳
1684,醬猪媳
1685,藏人无自治
1686,藏人大会
1687,藏人
1688,长肉棍
1689,張偉國
1690,張溫鷹
1691,张新枫
1692,张小平
1693,张筱雨
1694,張昭富
1695,张先玲
1696,装屄
1697,藏妇会
1698,张柏芝
1699,張伯笠
1700,張博雅
1701,藏民
1702,张立昌
1703,張林
1704,长濑爱
1705,张磊
1706,奖励使者
